bus name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),20:30,4:30,08h 00m,569,15 Seats available,"4.5
709",https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),23:00,7:00,08h 00m,759,39 Seats available,"4.6
116",https://www.redbus.in/bus-tickets/delhi-to-bilaspur-himachal-pradesh,Delhi to Bilaspur (Himachal Pradesh)
Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),22:00,6:00,08h 00m,664,43 Seats available,"4.4
54",https://www.redbus.in/bus-tickets/delhi-to-bilaspur-himachal-pradesh,Delhi to Bilaspur (Himachal Pradesh)
Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),21:00,5:00,08h 00m,664,45 Seats available,"4.4
13",https://www.redbus.in/bus-tickets/delhi-to-bilaspur-himachal-pradesh,Delhi to Bilaspur (Himachal Pradesh)
HRTC - 109,A/C Executive (2+3),10:40,18:44,08h 04m,INR 529,42 Seats available,"3.9
11",https://www.redbus.in/bus-tickets/solan-to-delhi,Solan to Delhi
HRTC - 1506,Himsuta AC Seater Volvo/Scania 2+2,8:50,17:00,08h 10m,INR 965,19 Seats available,"4.8
9",https://www.redbus.in/bus-tickets/chandigarh-to-manali,Chandigarh to Manali
HRTC - 508,A/C Executive (2+3),12:00,20:10,08h 10m,INR 594,42 Seats available,"2.7
14",https://www.redbus.in/bus-tickets/chandigarh-to-manali,Chandigarh to Manali
HRTC - 583,Ordinary 3+2 Non AC Seater,22:02,6:15,08h 13m,INR 469,37 Seats available,"4.6
7",https://www.redbus.in/bus-tickets/delhi-to-bilaspur-himachal-pradesh,Delhi to Bilaspur (Himachal Pradesh)
HRTC - 6,Himsuta AC Seater Volvo/Scania 2+2,6:45,15:00,08h 15m,INR 741,34 Seats available,"4.1
17",https://www.redbus.in/bus-tickets/delhi-to-solan,Delhi to Solan
HRTC - 110,Himsuta AC Seater Volvo/Scania 2+2,6:40,14:55,08h 15m,INR 814,34 Seats available,3.9,https://www.redbus.in/bus-tickets/dharamshala-to-chandigarh,Dharamshala (Himachal Pradesh) to Chandigarh
HRTC - 601,Himmani Deluxe 2+2 Non AC Seater,19:15,3:30,08h 15m,INR 532,26 Seats available,"3.1
9",https://www.redbus.in/bus-tickets/ghumarwin-to-delhi,Ghumarwin to Delhi
HRTC - 5,Himsuta AC Seater Volvo/Scania 2+2,11:00,19:15,08h 15m,INR 741,24 Seats available,"3.6
24",https://www.redbus.in/bus-tickets/solan-to-delhi,Solan to Delhi
HRTC - 534,Ordinary 3+2 Non AC Seater,18:05,2:20,08h 15m,INR 469,37 Seats available,4.2,https://www.redbus.in/bus-tickets/delhi-to-bilaspur-himachal-pradesh,Delhi to Bilaspur (Himachal Pradesh)
HRTC - 77,Himsuta AC Seater Volvo/Scania 2+2,22:15,6:30,08h 15m,INR 913,32 Seats available,"4.3
40",https://www.redbus.in/bus-tickets/delhi-to-bilaspur-himachal-pradesh,Delhi to Bilaspur (Himachal Pradesh)
City Land Travels,Scania Multi-Axle AC Semi Sleeper (2+2),23:55,8:15,08h 20m,709,36 Seats available,"3.6
34",https://www.redbus.in/bus-tickets/delhi-to-bilaspur-himachal-pradesh,Delhi to Bilaspur (Himachal Pradesh)
Metahills holidays,Scania A/C Semi Sleeper (2+2),23:21,7:50,08h 29m,1169,26 Seats available,3.3,https://www.redbus.in/bus-tickets/chandigarh-to-kullu,Chandigarh to Kullu
Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),23:30,8:00,08h 30m,759,15 Seats available,"4.5
790",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 887,Ordinary 3+2 Non AC Seater,8:00,16:30,08h 30m,INR 488,37 Seats available,"4.7
9",https://www.redbus.in/bus-tickets/ghumarwin-to-delhi,Ghumarwin to Delhi
HRTC - 58,Himsuta AC Seater Volvo/Scania 2+2,19:30,4:00,08h 30m,INR 860,34 Seats available,3.9,https://www.redbus.in/bus-tickets/chandigarh-to-kullu,Chandigarh to Kullu
HRTC - 530,Ordinary 3+2 Non AC Seater,18:20,2:50,08h 30m,INR 469,37 Seats available,4.2,https://www.redbus.in/bus-tickets/delhi-to-bilaspur-himachal-pradesh,Delhi to Bilaspur (Himachal Pradesh)
HRTC - 1545,Ordinary 3+2 Non AC Seater,8:55,17:30,08h 35m,INR 564,27 Seats available,3.9,https://www.redbus.in/bus-tickets/chandigarh-to-manali,Chandigarh to Manali
HRTC - 597,Himsuta AC Seater Volvo/Scania 2+2,20:35,5:10,08h 35m,INR 982,32 Seats available,"3.9
19",https://www.redbus.in/bus-tickets/delhi-to-ghumarwin,Delhi to Ghumarwin
Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),22:00,6:40,08h 40m,570,14 Seats available,"4.5
526",https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
HRTC - 600,Himsuta AC Seater Volvo/Scania 2+2,21:50,6:30,08h 40m,INR 883,30 Seats available,"4.2
16",https://www.redbus.in/bus-tickets/delhi-to-bilaspur-himachal-pradesh,Delhi to Bilaspur (Himachal Pradesh)
HRTC - 165,Himsuta AC Seater Volvo/Scania 2+2,7:00,15:45,08h 45m,INR 916,33 Seats available,"3.7
4",https://www.redbus.in/bus-tickets/delhi-to-ghumarwin,Delhi to Ghumarwin
HRTC - 505,Ordinary 3+2 Non AC Seater,6:40,15:30,08h 50m,INR 469,37 Seats available,"4.9
4",https://www.redbus.in/bus-tickets/delhi-to-bilaspur-himachal-pradesh,Delhi to Bilaspur (Himachal Pradesh)
HRTC - 1532,Ordinary 3+2 Non AC Seater,14:00,22:50,08h 50m,INR 462,37 Seats available,4.2,https://www.redbus.in/bus-tickets/delhi-to-bilaspur-himachal-pradesh,Delhi to Bilaspur (Himachal Pradesh)
HRTC - 563,Ordinary 3+2 Non AC Seater,20:50,5:45,08h 55m,INR 464,37 Seats available,4.2,https://www.redbus.in/bus-tickets/delhi-to-bilaspur-himachal-pradesh,Delhi to Bilaspur (Himachal Pradesh)
Bedi Travels,Volvo A/C Semi Sleeper (2+2),23:00,8:00,09h 00m,539,9 Seats available,"4.8
792",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 110,Himsuta AC Seater Volvo/Scania 2+2,5:40,14:40,09h 00m,INR 820,33 Seats available,3.9,https://www.redbus.in/bus-tickets/dharamshala-to-chandigarh,Dharamshala (Himachal Pradesh) to Chandigarh
HRTC - 1544,Ordinary 3+2 Non AC Seater,21:40,6:40,09h 00m,INR 507,27 Seats available,3.9,https://www.redbus.in/bus-tickets/chandigarh-to-kullu,Chandigarh to Kullu
HRTC - 886,Ordinary 3+2 Non AC Seater,6:20,15:20,09h 00m,INR 488,37 Seats available,"5.0
4",https://www.redbus.in/bus-tickets/delhi-to-ghumarwin,Delhi to Ghumarwin
HRTC - 557,Ordinary 3+2 Non AC Seater,20:15,5:15,09h 00m,INR 488,37 Seats available,"4.1
13",https://www.redbus.in/bus-tickets/delhi-to-ghumarwin,Delhi to Ghumarwin
HRTC - 77,Himsuta AC Seater Volvo/Scania 2+2,22:15,7:15,09h 00m,INR 982,32 Seats available,"4.5
45",https://www.redbus.in/bus-tickets/delhi-to-ghumarwin,Delhi to Ghumarwin
HRTC - 534,Ordinary 3+2 Non AC Seater,18:05,3:10,09h 05m,INR 510,37 Seats available,4.2,https://www.redbus.in/bus-tickets/delhi-to-ghumarwin,Delhi to Ghumarwin
HRTC - 804,Ordinary 3+2 Non AC Seater,9:38,19:00,09h 22m,INR 564,37 Seats available,"4.0
8",https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
RSRTC - 192348,Super Luxury Volvo AC Seater Pushback 2+2,16:30,2:00,09h 30m,INR 1117,33 Seats available,"2.8
14",https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
HRTC - 514,Ordinary 3+2 Non AC Seater,17:40,3:15,09h 35m,INR 489,37 Seats available,3.9,https://www.redbus.in/bus-tickets/chandigarh-to-kullu,Chandigarh to Kullu
Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),21:50,7:40,09h 50m,750,28 Seats available,"4.2
341",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 1468,Ordinary 3+2 Non AC Seater,9:15,19:05,09h 50m,INR 475,37 Seats available,4.2,https://www.redbus.in/bus-tickets/delhi-to-ghumarwin,Delhi to Ghumarwin
HRTC - 165,Himsuta AC Seater Volvo/Scania 2+2,7:00,17:10,10h 10m,INR 1068,34 Seats available,"4.3
37",https://www.redbus.in/bus-tickets/delhi-to-hamirpur-himachal-pradesh,Delhi to Hamirpur (Himachal Pradesh)
HRTC - 680,Ordinary 3+2 Non AC Seater,18:18,4:30,10h 12m,INR 510,33 Seats available,4,https://www.redbus.in/bus-tickets/ghumarwin-to-delhi,Ghumarwin to Delhi
HRTC - 580,Ordinary 3+2 Non AC Seater,22:45,9:00,10h 15m,INR 452,37 Seats available,4.2,https://www.redbus.in/bus-tickets/delhi-to-bilaspur-himachal-pradesh,Delhi to Bilaspur (Himachal Pradesh)
HRTC - 164,Himsuta AC Seater Volvo/Scania 2+2,9:30,20:05,10h 35m,INR 1068,25 Seats available,"4.7
26",https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-delhi,Hamirpur (Himachal Pradesh) to Delhi
HRTC - 602,,17:20,4:00,10h 40m,INR 604,,3.2,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-delhi,Hamirpur (Himachal Pradesh) to Delhi
HRTC - 791,Ordinary 3+2 Non AC Seater,8:40,19:40,11h 00m,INR 564,28 Seats available,3.9,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
HRTC - 514,Ordinary 3+2 Non AC Seater,11:30,22:30,11h 00m,INR 452,37 Seats available,4.2,https://www.redbus.in/bus-tickets/delhi-to-bilaspur-himachal-pradesh,Delhi to Bilaspur (Himachal Pradesh)
HRTC - 554,Ordinary 3+2 Non AC Seater,20:00,7:00,11h 00m,INR 496,37 Seats available,4.2,https://www.redbus.in/bus-tickets/delhi-to-bilaspur-himachal-pradesh,Delhi to Bilaspur (Himachal Pradesh)
HRTC - 416,Ordinary 3+2 Non AC Seater,17:10,4:15,11h 05m,INR 634,37 Seats available,"4.6
6",https://www.redbus.in/bus-tickets/delhi-to-hamirpur-himachal-pradesh,Delhi to Hamirpur (Himachal Pradesh)
HRTC - 617,Ordinary 3+2 Non AC Seater,7:30,19:00,11h 30m,INR 634,33 Seats available,"3.5
5",https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-delhi,Hamirpur (Himachal Pradesh) to Delhi
HRTC - 1468,Ordinary 3+2 Non AC Seater,9:15,21:20,12h 05m,INR 567,37 Seats available,4.1,https://www.redbus.in/bus-tickets/delhi-to-hamirpur-himachal-pradesh,Delhi to Hamirpur (Himachal Pradesh)
HRTC - 603,Ordinary 3+2 Non AC Seater,16:40,5:00,12h 20m,INR 643,33 Seats available,"4.4
27",https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-delhi,Hamirpur (Himachal Pradesh) to Delhi
HRTC - 1005,Ordinary 3+2 Non AC Seater,7:00,20:30,13h 30m,INR 775,27 Seats available,2.5,https://www.redbus.in/bus-tickets/chamba-himachal-pradesh-to-shimla,Chamba (Himachal Pradesh) to Shimla
HRTC - 1012,,18:30,8:15,13h 45m,INR 780,28 Seats available,3,https://www.redbus.in/bus-tickets/chamba-himachal-pradesh-to-shimla,Chamba (Himachal Pradesh) to Shimla
HRTC - 1009,Ordinary 3+2 Non AC Seater,17:00,7:30,14h 30m,INR 837,35 Seats available,"4.3
7",https://www.redbus.in/bus-tickets/chamba-himachal-pradesh-to-shimla,Chamba (Himachal Pradesh) to Shimla
HRTC - 1001,A/C Executive (2+3),17:15,8:15,15h 00m,INR 924,44 Seats available,"1.9
44",https://www.redbus.in/bus-tickets/chamba-himachal-pradesh-to-shimla,Chamba (Himachal Pradesh) to Shimla
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
,,,,,,,,https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,Chandigarh to Hamirpur (Himachal Pradesh)
,,,,,,,,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Hamirpur (Himachal Pradesh) to Chandigarh
,,,,,,,,https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
,,,,,,,,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-delhi,Hamirpur (Himachal Pradesh) to Delhi
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-to-hamirpur-himachal-pradesh,Delhi to Hamirpur (Himachal Pradesh)
,,,,,,,,https://www.redbus.in/bus-tickets/chandigarh-to-dharamshala,Chandigarh to Dharamshala (Himachal Pradesh)
,,,,,,,,https://www.redbus.in/bus-tickets/kangra-to-chandigarh,Kangra to Chandigarh
,,,,,,,,https://www.redbus.in/bus-tickets/shimla-to-chandigarh,Shimla to Chandigarh
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-to-solan,Delhi to Solan
,,,,,,,,https://www.redbus.in/bus-tickets/dharamshala-to-chandigarh,Dharamshala (Himachal Pradesh) to Chandigarh
,,,,,,,,https://www.redbus.in/bus-tickets/palampur-to-chandigarh,Palampur to Chandigarh
,,,,,,,,https://www.redbus.in/bus-tickets/ghumarwin-to-delhi,Ghumarwin to Delhi
,,,,,,,,https://www.redbus.in/bus-tickets/chandigarh-to-kangra,Chandigarh to Kangra
,,,,,,,,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
,,,,,,,,https://www.redbus.in/bus-tickets/solan-to-delhi,Solan to Delhi
,,,,,,,,https://www.redbus.in/bus-tickets/chandigarh-to-manali,Chandigarh to Manali
,,,,,,,,https://www.redbus.in/bus-tickets/chamba-himachal-pradesh-to-shimla,Chamba (Himachal Pradesh) to Shimla
