Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
APSRTC - 50144,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:45,23:00,05h 15m,INR 353,33 Seats available,"3.3
58",https://www.redbus.in/bus-tickets/rayachoti-to-bangalore,Rayachoti to Bangalore
APSRTC - 6018,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",18:30,00:15,05h 45m,INR 353,45 Seats available,"4.3
7",https://www.redbus.in/bus-tickets/rayachoti-to-bangalore,Rayachoti to Bangalore
APSRTC - 6010,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:15,02:30,05h 15m,INR 353,33 Seats available,"3.7
54",https://www.redbus.in/bus-tickets/rayachoti-to-bangalore,Rayachoti to Bangalore
APSRTC - 6240,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",22:15,04:00,05h 45m,INR 330,37 Seats available,"3.7
50",https://www.redbus.in/bus-tickets/rayachoti-to-bangalore,Rayachoti to Bangalore
APSRTC - 6073,INDRA(A.C. Seater),22:45,03:00,04h 15m,INR 422,31 Seats available,"3.5
35",https://www.redbus.in/bus-tickets/rayachoti-to-bangalore,Rayachoti to Bangalore
APSRTC - 6522,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",23:15,03:50,04h 35m,INR 330,37 Seats available,"4.0
13",https://www.redbus.in/bus-tickets/rayachoti-to-bangalore,Rayachoti to Bangalore
APSRTC - 6065,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:45,04:35,04h 50m,INR 353,34 Seats available,"3.5
79",https://www.redbus.in/bus-tickets/rayachoti-to-bangalore,Rayachoti to Bangalore
APSRTC - 9266,INDRA(A.C. Seater),23:55,04:40,04h 45m,INR 422,36 Seats available,"4.2
51",https://www.redbus.in/bus-tickets/rayachoti-to-bangalore,Rayachoti to Bangalore
SUVARNAMUKHI TRAVELS,NON A/C Seater (2+3),23:00,04:30,05h 30m,INR 280,11 Seats available,"3.0
14",https://www.redbus.in/bus-tickets/rayachoti-to-bangalore,Rayachoti to Bangalore
SUVARNAMUKHI TRAVELS,A/C Sleeper (2+1),23:30,04:35,05h 05m,INR 650,22 Seats available,"4.4
32",https://www.redbus.in/bus-tickets/rayachoti-to-bangalore,Rayachoti to Bangalore
PRL BUS,Non A/C Seater / Sleeper (2+1),23:30,06:00,06h 30m,INR 400,30 Seats available,"3.2
20",https://www.redbus.in/bus-tickets/rayachoti-to-bangalore,Rayachoti to Bangalore
PRL BUS,Non A/C Seater / Sleeper (2+1),23:35,05:00,05h 25m,INR 400,17 Seats available,"4.4
41",https://www.redbus.in/bus-tickets/rayachoti-to-bangalore,Rayachoti to Bangalore
Maheswari Travels,Non A/C Seater / Sleeper (2+1),23:40,05:40,06h 00m,INR 399,21 Seats available,"3.7
17",https://www.redbus.in/bus-tickets/rayachoti-to-bangalore,Rayachoti to Bangalore
SBT,Non A/C Seater / Sleeper (2+1),23:30,05:00,05h 30m,INR 380,25 Seats available,3.0,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,Kurnool to Hyderabad
Dwaraka Travels,Non AC Seater (2+2),23:50,05:00,05h 10m,INR 550,9 Seats available,"3.9
12",https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,Kurnool to Hyderabad
Dwaraka Travels,AC Sleeper (2+1),23:55,05:30,05h 35m,INR 800,15 Seats available,"4.0
29",https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,Kurnool to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,Kurnool to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,Kurnool to Hyderabad
Indu Travels,Non A/C Seater / Sleeper (2+1),23:59,05:00,05h 01m,INR 399,24 Seats available,"3.9
17",https://www.redbus.in/bus-tickets/kadiri-to-bangalore,Kadiri to Bangalore
SEVEN HILLS TRAVELS,Non A/C Seater / Sleeper (2+1),23:59,05:00,05h 01m,INR 449,7 Seats available,"4.3
8",https://www.redbus.in/bus-tickets/kadiri-to-bangalore,Kadiri to Bangalore
Vasavi travels,NON A/C Seater/ Sleeper (2+1),23:59,05:40,05h 41m,INR 449,27 Seats available,3.7,https://www.redbus.in/bus-tickets/kadiri-to-bangalore,Kadiri to Bangalore
Maheswari Travels,,23:45,05:50,06h 05m,INR 399,,2.9,https://www.redbus.in/bus-tickets/kadiri-to-bangalore,Kadiri to Bangalore
,,,,,,,,https://www.redbus.in/bus-tickets/kadiri-to-bangalore,Kadiri to Bangalore
Zingbus Plus,A/C Sleeper (2+1),16:45,21:20,04h 35m,494,22 Seats available,"4.6
5",https://www.redbus.in/bus-tickets/visakhapatnam-to-rajahmundry,Visakhapatnam to Rajahmundry
DMR Travels,A/C Sleeper (2+1),16:50,21:35,04h 45m,INR 750,9 Seats available,3.5,https://www.redbus.in/bus-tickets/visakhapatnam-to-rajahmundry,Visakhapatnam to Rajahmundry
Mahadevv travels,Non A/C Seater / Sleeper (2+1),17:00,22:00,05h 00m,474,11 Seats available,3.2,https://www.redbus.in/bus-tickets/visakhapatnam-to-rajahmundry,Visakhapatnam to Rajahmundry
,,,,,,,,https://www.redbus.in/bus-tickets/visakhapatnam-to-rajahmundry,Visakhapatnam to Rajahmundry
,,,,,,,,https://www.redbus.in/bus-tickets/visakhapatnam-to-rajahmundry,Visakhapatnam to Rajahmundry
Giridhar Tours and Travels,A/C Sleeper (2+1),22:15,05:30,07h 15m,INR 940,16 Seats available,"4.5
66",https://www.redbus.in/bus-tickets/hyderabad-to-markapuram,Hyderabad to Markapuram
Royal Voyage Travels (RVT),A/C Seater / Sleeper (2+1),22:00,04:50,06h 50m,INR 700,14 Seats available,"4.1
77",https://www.redbus.in/bus-tickets/hyderabad-to-markapuram,Hyderabad to Markapuram
Giridhar Tours and Travels,,22:15,05:30,07h 15m,INR 640,29 Seats available,4.0,https://www.redbus.in/bus-tickets/hyderabad-to-markapuram,Hyderabad to Markapuram
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-markapuram,Hyderabad to Markapuram
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-markapuram,Hyderabad to Markapuram
TSRTC - 98543,LAHARI A/C SLEEPER CUM SEATER,22:00,01:00,03h 00m,INR 317,32 Seats available,3.6,https://www.redbus.in/bus-tickets/rajahmundry-to-vijayawada,Rajahmundry to Vijayawada
Shyamoli Paribahan Pvt Ltd,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:00,21:15,03h 15m,599,1 Seat available,4.8,https://www.redbus.in/bus-tickets/rajahmundry-to-vijayawada,Rajahmundry to Vijayawada
Shree Manikanta Travels,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:20,21:05,02h 45m,INR 609,2 Seats available,4.0,https://www.redbus.in/bus-tickets/rajahmundry-to-vijayawada,Rajahmundry to Vijayawada
,,,,,,,,https://www.redbus.in/bus-tickets/rajahmundry-to-vijayawada,Rajahmundry to Vijayawada
,,,,,,,,https://www.redbus.in/bus-tickets/rajahmundry-to-vijayawada,Rajahmundry to Vijayawada
NueGo,Electric A/C Seater (2+2),16:45,20:10,03h 25m,238,5 Seats available,4.4,https://www.redbus.in/bus-tickets/tirupathi-to-chennai,Tirupati to Chennai
(SBLT) Shri Bhagiyalakshimi Travels (MAARA),A/C Sleeper (2+1),18:00,21:15,03h 15m,INR 500,32 Seats available,3.6,https://www.redbus.in/bus-tickets/tirupathi-to-chennai,Tirupati to Chennai
NueGo,Electric A/C Seater (2+2),23:30,03:35,04h 05m,238,26 Seats available,"4.3
348",https://www.redbus.in/bus-tickets/tirupathi-to-chennai,Tirupati to Chennai
Maheswari Travels,Non A/C Seater / Sleeper (2+1),02:00,06:21,04h 21m,INR 400,25 Seats available,"4.3
17",https://www.redbus.in/bus-tickets/tirupathi-to-chennai,Tirupati to Chennai
,,,,,,,,https://www.redbus.in/bus-tickets/tirupathi-to-chennai,Tirupati to Chennai
Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),20:05,23:40,03h 35m,INR 800,1 Seat available,"4.8
7",https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Anantapur (andhra pradesh) to Bangalore
YAS TOURS AND TRAVELS,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),22:10,01:15,03h 05m,INR 700,25 Seats available,"4.6
18",https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Anantapur (andhra pradesh) to Bangalore
Royal Rich India,Bharat Benz A/C Sleeper (2+1),20:10,23:45,03h 35m,750,10 Seats available,4.7,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Anantapur (andhra pradesh) to Bangalore
,,,,,,,,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Anantapur (andhra pradesh) to Bangalore
,,,,,,,,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Anantapur (andhra pradesh) to Bangalore
VSN Travels,NON A/C Seater PushBack (2+2),22:30,05:00,06h 30m,INR 349,19 Seats available,"4.1
101",https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad
VSN Travels,A/C Sleeper (2+1),22:40,05:30,06h 50m,INR 550,10 Seats available,"3.9
139",https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad
Kundana Travels,Non A/C Seater / Sleeper (2+1),22:45,05:55,07h 10m,INR 349,8 Seats available,"3.9
123",https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad
SRI MARUTHI TRAVELS,Non A/C Seater / Sleeper (2+1),22:45,06:00,07h 15m,INR 349,22 Seats available,"3.0
76",https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad
Kundana Travels,NON A/C Seater (2+2),22:45,05:55,07h 10m,INR 990,32 Seats available,"4.0
8",https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad
SBR Travels,NON A/C Sleeper (2+1),22:50,03:40,04h 50m,INR 499,19 Seats available,3.4,https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad
Lakshmi Gayatri Travels,NON A/C Hi-Tech (2+2),22:50,04:55,06h 05m,INR 399,23 Seats available,"3.1
113",https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad
SBR Travels,NON A/C Sleeper (2+1),22:55,05:00,06h 05m,INR 499,20 Seats available,3.4,https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad
Morning Star Travels,A/C Sleeper (2+1),23:00,04:00,05h 00m,INR 590,13 Seats available,"3.4
85",https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad
Sai Balaji Travels,Non A/C Seater / Sleeper (2+1),23:00,05:30,06h 30m,INR 349,11 Seats available,"4.0
182",https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad
SVR Bus,Non A/C Seater / Sleeper (2+1),23:05,04:45,05h 40m,INR 399,17 Seats available,"4.4
8",https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad
SVR Bus,Non A/C Seater / Sleeper (2+1),23:05,04:45,05h 40m,INR 399,25 Seats available,"4.5
66",https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad
Vikram sri krishna travels,A/C Sleeper (2+1),23:10,05:30,06h 20m,INR 469,4 Seats available,"4.2
63",https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad
SRI MARUTHI TRAVELS,A/C Seater / Sleeper (2+1),23:10,05:00,05h 50m,INR 399,22 Seats available,"3.5
114",https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad
SRI MARUTHI TRAVELS,Non A/C Seater / Sleeper (2+1),23:10,05:00,05h 50m,INR 300,29 Seats available,"3.2
144",https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad
Pragathi Travels,A/C Sleeper (2+1),23:15,05:05,05h 50m,INR 590,16 Seats available,"3.9
17",https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad
Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),23:15,05:15,06h 00m,INR 400,10 Seats available,"3.4
141",https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad
Kamakshi Tours And Travels,Non A/C Seater / Sleeper (2+1),23:20,05:30,06h 10m,INR 450,19 Seats available,"3.3
25",https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad
Modern Travels,A/C Sleeper (2+1),23:20,05:00,05h 40m,INR 499,14 Seats available,3.5,https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad
Lakshmi Gayatri Travels,NON A/C Sleeper (2+1),23:25,06:00,06h 35m,INR 549,20 Seats available,"4.2
9",https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad
Morning Star Travels,A/C Sleeper (2+1),23:25,04:40,05h 15m,INR 590,17 Seats available,"3.5
41",https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad
KKaveri Travels,Non A/C Seater / Sleeper (2+1),23:30,06:00,06h 30m,INR 500,13 Seats available,"3.1
33",https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad
VV Vinayak Travels,A/C Sleeper (2+1),23:40,05:20,05h 40m,INR 799,17 Seats available,"3.0
38",https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad
Lakshmi Gayatri Travels,Non A/C Seater / Sleeper (2+1),23:45,06:00,06h 15m,INR 449,23 Seats available,"3.0
13",https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad
V Kaveri Travels,Volvo Multi-Axle A/C Sleeper (2+1),23:50,05:15,05h 25m,INR 1000,13 Seats available,"3.8
38",https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad
Kaveri Travels,Non A/C Seater / Sleeper (2+1),23:50,05:20,05h 30m,INR 450,21 Seats available,"3.4
80",https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad
Sri Krishna Travels,Volvo Multi-Axle A/C Sleeper (2+1),23:59,05:00,05h 01m,INR 900,14 Seats available,"3.4
7",https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad
SRI MARUTHI TRAVELS,A/C Seater Push Back (2+2),23:10,05:00,05h 50m,INR 999,40 Seats available,"1.9
4",https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad
VV Vinayak Travels,Non A/C Seater / Sleeper (2+1),23:30,05:20,05h 50m,INR 810,10 Seats available,"2.8
16",https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad
Sri Laxmi Sravanthi Siva Tours And Travels,Non A/C Seater / Sleeper (2+1),23:50,06:00,06h 10m,INR 499,11 Seats available,"2.9
18",https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad
VSN Travels,A/C Sleeper (2+1),22:40,05:30,06h 50m,INR 2000,30 Seats available,4.0,https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad
GOWTHAMI TOURS & TRAVELS,A/C Sleeper (2+1),22:45,06:00,07h 15m,INR 3899,36 Seats available,New,https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad
Sri Krishna Travels,A/C Semi Sleeper / Sleeper (2+1),23:30,05:00,05h 30m,INR 3000,22 Seats available,2.7,https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad
APSRTC - 5984,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:15,02:45,05h 30m,INR 467,10 Seats available,"3.2
33",https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad,Vinukonda to Hyderabad
APSRTC - 4590,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:30,02:45,05h 15m,INR 467,13 Seats available,3.8,https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad,Vinukonda to Hyderabad
APSRTC - 4578,INDRA(A.C. Seater),22:00,02:44,04h 44m,INR 565,8 Seats available,"3.9
85",https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad,Vinukonda to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad,Vinukonda to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad,Vinukonda to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad,Vinukonda to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad,Vinukonda to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad,Vinukonda to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad,Vinukonda to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad,Vinukonda to Hyderabad
JOSH BUS,Non A/C Seater / Sleeper (2+1),21:30,04:50,07h 20m,INR 500,14 Seats available,"4.3
84",https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
Kaveri Travels,A/C Sleeper (2+1),21:30,05:00,07h 30m,INR 700,19 Seats available,"3.9
206",https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
Sri Krishna Travels,A/C Semi Sleeper / Sleeper (2+1),20:15,05:00,08h 45m,INR 500,26 Seats available,"3.8
107",https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
APSRTC - 50079,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:15,02:00,05h 45m,INR 353,18 Seats available,"3.0
25",https://www.redbus.in/bus-tickets/bangalore-to-rayachoti,Bangalore to Rayachoti
APSRTC - 6017,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:00,02:45,05h 45m,INR 353,22 Seats available,"3.4
14",https://www.redbus.in/bus-tickets/bangalore-to-rayachoti,Bangalore to Rayachoti
APSRTC - 50062,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:45,03:30,05h 45m,INR 353,23 Seats available,"3.9
30",https://www.redbus.in/bus-tickets/bangalore-to-rayachoti,Bangalore to Rayachoti
,,,,,,,,https://www.redbus.in/bus-tickets/bangalore-to-rayachoti,Bangalore to Rayachoti
,,,,,,,,https://www.redbus.in/bus-tickets/bangalore-to-rayachoti,Bangalore to Rayachoti
,,,,,,,,https://www.redbus.in/bus-tickets/bangalore-to-rayachoti,Bangalore to Rayachoti
,,,,,,,,https://www.redbus.in/bus-tickets/bangalore-to-rayachoti,Bangalore to Rayachoti
,,,,,,,,https://www.redbus.in/bus-tickets/bangalore-to-rayachoti,Bangalore to Rayachoti
,,,,,,,,https://www.redbus.in/bus-tickets/bangalore-to-rayachoti,Bangalore to Rayachoti
,,,,,,,,https://www.redbus.in/bus-tickets/bangalore-to-rayachoti,Bangalore to Rayachoti
IntrCity SmartBus,Scania AC Multi Axle Sleeper (2+1),23:30,07:15,07h 45m,INR 1050,11 Seats available,"4.5
370",https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Hyderabad to Guntur (Andhra Pradesh)
GMRK Tours and Travels,Bharat Benz A/C Sleeper (2+1),23:30,06:10,06h 40m,INR 649,12 Seats available,"4.4
453",https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Hyderabad to Guntur (Andhra Pradesh)
Zingbus Plus,A/C Seater / Sleeper (2+1),23:38,06:50,07h 12m,568,24 Seats available,"4.4
410",https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Hyderabad to Guntur (Andhra Pradesh)
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Hyderabad to Guntur (Andhra Pradesh)
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Hyderabad to Guntur (Andhra Pradesh)
NueGo,Electric A/C Seater (2+2),22:00,06:33,08h 33m,759,15 Seats available,"4.2
386",https://www.redbus.in/bus-tickets/hyderabad-to-eluru,Hyderabad to Eluru
Sri Sai Anjana Tours and Travels,Non A/C Seater / Sleeper (2+1),22:20,05:25,07h 05m,INR 410,22 Seats available,"4.1
25",https://www.redbus.in/bus-tickets/hyderabad-to-eluru,Hyderabad to Eluru
Sri KVR Travels,Non A/C Seater / Sleeper (2+1),21:30,06:00,08h 30m,INR 480,14 Seats available,"4.2
214",https://www.redbus.in/bus-tickets/hyderabad-to-eluru,Hyderabad to Eluru
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-eluru,Hyderabad to Eluru
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-eluru,Hyderabad to Eluru
APSRTC - 52533,Express(Non AC Seater),18:45,23:30,04h 45m,INR 205,43 Seats available,"3.3
40",https://www.redbus.in/bus-tickets/bangalore-to-kadiri,Bangalore to Kadiri
APSRTC - 6160,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:15,23:59,04h 44m,INR 301,24 Seats available,"3.0
12",https://www.redbus.in/bus-tickets/bangalore-to-kadiri,Bangalore to Kadiri
APSRTC - 6182,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:45,00:45,05h 00m,INR 301,31 Seats available,"1.7
5",https://www.redbus.in/bus-tickets/bangalore-to-kadiri,Bangalore to Kadiri
APSRTC - 52535,,20:30,00:30,04h 00m,INR 205,,4.4,https://www.redbus.in/bus-tickets/bangalore-to-kadiri,Bangalore to Kadiri
,,,,,,,,https://www.redbus.in/bus-tickets/bangalore-to-kadiri,Bangalore to Kadiri
,,,,,,,,https://www.redbus.in/bus-tickets/bangalore-to-kadiri,Bangalore to Kadiri
,,,,,,,,https://www.redbus.in/bus-tickets/bangalore-to-kadiri,Bangalore to Kadiri
,,,,,,,,https://www.redbus.in/bus-tickets/bangalore-to-kadiri,Bangalore to Kadiri
,,,,,,,,https://www.redbus.in/bus-tickets/bangalore-to-kadiri,Bangalore to Kadiri
,,,,,,,,https://www.redbus.in/bus-tickets/bangalore-to-kadiri,Bangalore to Kadiri
APSRTC - 36005,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",18:30,22:04,03h 34m,INR 302,33 Seats available,"4.2
56",https://www.redbus.in/bus-tickets/macherla-to-hyderabad,Macherla (andhra pradesh) to Hyderabad
APSRTC - 4406,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:00,00:03,04h 03m,INR 302,34 Seats available,"3.7
29",https://www.redbus.in/bus-tickets/macherla-to-hyderabad,Macherla (andhra pradesh) to Hyderabad
APSRTC - 4418,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:00,01:34,03h 34m,INR 302,34 Seats available,"4.1
46",https://www.redbus.in/bus-tickets/macherla-to-hyderabad,Macherla (andhra pradesh) to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/macherla-to-hyderabad,Macherla (andhra pradesh) to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/macherla-to-hyderabad,Macherla (andhra pradesh) to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/macherla-to-hyderabad,Macherla (andhra pradesh) to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/macherla-to-hyderabad,Macherla (andhra pradesh) to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/macherla-to-hyderabad,Macherla (andhra pradesh) to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/macherla-to-hyderabad,Macherla (andhra pradesh) to Hyderabad
APSRTC - 2747,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",18:00,21:50,03h 50m,INR 342,32 Seats available,"3.6
50",https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,Rajahmundry to Visakhapatnam
APSRTC - 27071,METRO LUXURY A/C,18:30,22:45,04h 15m,INR 467,29 Seats available,"3.2
64",https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,Rajahmundry to Visakhapatnam
APSRTC - 4511,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:15,00:01,04h 46m,INR 344,34 Seats available,"3.4
6",https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,Rajahmundry to Visakhapatnam
APSRTC - 3492,,19:15,23:00,03h 45m,INR 528,43 Seats available,2.9,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,Rajahmundry to Visakhapatnam
,,,,,,,,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,Rajahmundry to Visakhapatnam
,,,,,,,,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,Rajahmundry to Visakhapatnam
,,,,,,,,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,Rajahmundry to Visakhapatnam
,,,,,,,,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,Rajahmundry to Visakhapatnam
,,,,,,,,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,Rajahmundry to Visakhapatnam
,,,,,,,,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,Rajahmundry to Visakhapatnam
VEERA BRAHMENDRA TRAVELS,Non A/C Seater / Sleeper (2+1),23:35,06:00,06h 25m,INR 400,19 Seats available,"4.4
211",https://www.redbus.in/bus-tickets/nandyala-to-hyderabad,Nandyal to Hyderabad
BRS Travels,A/C Sleeper (2+1),23:00,05:30,06h 30m,INR 700,16 Seats available,"4.0
340",https://www.redbus.in/bus-tickets/nandyala-to-hyderabad,Nandyal to Hyderabad
BRS Travels,NON AC Seater / Sleeper 2+1,23:00,05:30,06h 30m,INR 500,26 Seats available,"4.0
286",https://www.redbus.in/bus-tickets/nandyala-to-hyderabad,Nandyal to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/nandyala-to-hyderabad,Nandyal to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/nandyala-to-hyderabad,Nandyal to Hyderabad
